uid,name,num_leds,length,reversed,offset,sub_component,num_adressable_leds,bus,status,points
221,ear_right,68,3.44,FALSE,0,ear_right,68,board_2,done,"[[0.5402298759724259, 2.3004829957257913, -0.7371353625034783], [0.5929750052076812, 2.4351665559567115, -0.5935867344580381], [0.7340694900111976, 2.407229026427805, -0.29733489734485075], [0.7330431453814371, 2.299489099604447, -0.09226554907825775], [0.8750106549565666, 2.084719306884342, -0.06017886974802187], [0.8801809030362877, 1.6919281774300956, -0.18404393395044574], [0.8740584806148766, 1.5462805406726645, -0.31172035790650443], [0.8679360581934652, 1.4006329039152337, -0.43939678186256315], [0.6595416595142247, 1.3615510632583376, -0.8814102901655579], [0.4730197337386926, 1.4791902139443411, -0.940434498338374], [0.500371300923255, 1.6388149199355575, -0.9505560197370858], [0.4874847467371708, 2.16579943549487, -0.8806839905489184], [0.5402298759724259, 2.3004829957257913, -0.7371353625034783]]"
25,head,65,3.27,FALSE,0,head,65,board_2,done,"[[0.180052090596309, 2.2374418185541045, -0.3872235852794653], [0.281652090596309, 2.36338344913764, -0.6309617764217096], [-0.180052090596309, 2.2374418185541045, -0.3872235852794653], [-0.281652090596309, 2.36338344913764, -0.6309617764217096], [-0.25625209059630905, 2.304713159007532, -1.0995828986200495], [-0.2614369164440396, 2.157500488023206, -1.3098270707078175], [-0.15465209059630908, 2.0543423413478097, -1.3322682290963694], [-0.10385209059630907, 1.8644056266874849, -1.4561823475476294], [0.05305209059630906, 1.67446891202716, -1.58009646599889], [0.10385209059630907, 1.8644056266874849, -1.4561823475476297], [0.15465209059630905, 2.0543423413478097, -1.3322682290963694], [0.2614369164440396, 2.157500488023206, -1.3098270707078175], [0.25625209059630905, 2.304713159007532, -1.0995828986200495]]"
26,ear_left,68,3.44,FALSE,0,ear_left,68,board_2,done,"[[-0.4874847467371708, 2.16579943549487, -0.8806839905489184], [-0.5402298759724259, 2.3004829957257913, -0.7371353625034783], [-0.4874847467371708, 2.16579943549487, -0.8806839905489184], [-0.500371300923255, 1.6388149199355575, -0.9505560197370858], [-0.4730197337386926, 1.4791902139443411, -0.940434498338374], [-0.6595416595142247, 1.3615510632583376, -0.8814102901655579], [-0.8679360581934652, 1.4006329039152337, -0.43939678186256315], [-0.8740584806148766, 1.5462805406726645, -0.31172035790650443], [-0.8801809030362877, 1.6919281774300956, -0.18404393395044574], [-0.8750106549565666, 2.084719306884342, -0.06017886974802187], [-0.7330431453814371, 2.299489099604447, -0.09226554907825775], [-0.7340694900111976, 2.407229026427805, -0.29733489734485075], [-0.5929750052076812, 2.4351665559567115, -0.5935867344580381]]"
16,leg_back_left,88,4.47,FALSE,0,leg_back_left,88,board_1,done,"[[-0.6330244444444443, 1.5951175803763333, 0.4644942471014859], [-0.38410444444444436, 1.8358265293777647, 0.8009690001762202], [-0.6330244444444443, 1.5951175803763333, 0.4644942471014859], [-0.6711244444444441, 1.339004998759493, 0.5480549851127249], [-0.7092244444444442, 1.0828924171426528, 0.6316157231239637], [-0.6330244444444443, 0.7350689561189495, 1.0731024488299616], [-0.6098223306676318, 0.6100922524228871, 1.671266611347243], [-0.6152444444444443, 0.5732433148080129, 1.8121957802276498], [-0.7168444444444443, 0.7556477580828244, 1.8631865695569394], [-0.6660444444444441, 0.9461532246152221, 1.8696032089999568], [-0.4450644444444443, 1.0710233916383887, 1.8678368600346262], [-0.4399844444444443, 1.0460051951612392, 1.733429275243712], [-0.38410444444444436, 1.1579488613424682, 1.3258280537092246], [-0.38410444444444436, 1.6407216313451456, 1.0983772698827208], [-0.38410444444444436, 1.738274080361455, 0.9496731350294703]]"
17,leg_back_right,79,4.01,FALSE,0,leg_back_right,79,board_1,done,"[[0.7425266666666667, 0.9188693107929349, 0.5849425337595953], [0.7120466666666669, 1.3464762196914, 0.471744550766723], [0.6447366666666668, 1.5160320481968887, 0.5671026998744096], [0.577426666666667, 1.6855878767023775, 0.6624608489820966], [0.414866666666667, 1.6538138062530594, 1.0371998958515993], [0.41359666666666706, 1.4892562656901203, 1.1112643597392973], [0.412326666666667, 1.3246987251271816, 1.1853288236269954], [0.6231466666666668, 0.9436641620393311, 0.9966826036454095], [0.704426666666667, 0.42432793347237535, 0.9918284340580337], [0.704426666666667, 0.3125748804124449, 1.0577442452551096], [0.8187266666666667, 0.23769130786027673, 1.0039062399931966], [0.8851280614578816, 0.19078112936285294, 0.8206379103116498], [0.7806266666666669, 0.21672355266836182, 0.6605997773106749], [0.788246666666667, 0.3475746365420686, 0.6599521347616097], [0.7425266666666667, 0.9188693107929349, 0.5849425337595953]]"
18,leg_front_left,82,4.17,FALSE,0,leg_front_left,82,board_1,done,"[[-0.4225290000000001, 1.6842677052473034, -0.5901961687993165], [-0.5655310000000001, 1.6429113972880538, -0.16323597386136435], [-0.4225290000000001, 1.6842677052473034, -0.5901961687993165], [-0.432562, 1.5087044297444254, -0.6784781411312086], [-0.442595, 1.3331411542415474, -0.7667601134631009], [-0.6163310000000002, 0.9386098926930835, -0.5916172819334069], [-0.7052310000000002, 0.39233082085249754, -0.599720591201751], [-0.7031989999999999, 0.23891106691943484, -0.6448811079722367], [-0.8829150260296512, 0.17111121831233458, -0.5341432833432347], [-0.8929370000000002, 0.16241385873989422, -0.36994599745250994], [-0.7900669999999999, 0.20044473797719486, -0.22028613574248865], [-0.7285989999999998, 0.37019615393539956, -0.2247280741724236], [-0.7700009999999999, 0.932745309750542, -0.18705650543971317], [-0.7700009999999999, 1.335990184710472, -0.03175553862584479], [-0.667766, 1.4894507909992631, -0.09749575624360457]]"
114,leg_front_right,74,3.76,FALSE,0,leg_front_right,74,board_1,done,"[[0.5074355555555556, 1.485632512496675, -0.5479059900233443], [0.49473555555555565, 1.61557209129034, -0.42276919121721435], [0.6522155555555557, 1.4946158409956325, -0.11428297902697167], [0.7093655555555556, 1.2966294460680503, -0.1279315277092741], [0.7665155555555556, 1.0986430511404681, -0.14158007639157655], [0.7665155555555556, 0.726269950419223, -0.3735782216013777], [0.7284155555555557, 0.6132225001065745, -0.8448099944447663], [0.7588955555555557, 0.49216156282151535, -0.9107453046507138], [0.8223955555555557, 0.48999784327132545, -1.068638992267945], [0.8223955555555557, 0.554909429777018, -1.2206061558368837], [0.6826955555555556, 0.6223154941787954, -1.263653605802542], [0.6268155555555557, 0.7839124055834621, -1.1339995342826723], [0.6268155555555557, 1.0291906874457886, -0.7061476979473774], [0.5201355555555556, 1.3556929337030106, -0.6730427888294744], [0.5074355555555556, 1.485632512496675, -0.5479059900233443]]"
220,trunk,127,6.44,FALSE,0,trunk,127,board_2,done,"[[-0.07367275796570624, 1.65406389232118, -1.5811643319207698], [-0.026947932123219262, 1.6671060232613713, -1.590444309688404], [-1.4432899320127036e-17, 0.8200817271554831, -1.879296061626107], [-0.009525000000000304, 0.9286476977850291, -1.8524140829996179], [-0.009525000000003647, 1.0375737327926462, -1.8261128194082972], [-0.009524999999988975, 1.1463131648904532, -1.7986032350542909], [-0.009524999999993664, 1.2543179427214342, -1.7687200527843627], [-0.009524999999895289, 1.3610416651139996, -1.7349007299361743], [-0.00952499999962729, 1.4656723795028774, -1.6952902145691175], [-0.009525000000002493, 1.5670583818132946, -1.6480839910735796], [0.07367275796570621, 1.6540638923211797, -1.5811643319207696], [0.16327761904099003, 1.5973907347513177, -1.5408392006456961], [0.17290920935760354, 1.5901342832130072, -1.5356759562912083], [0.25044858530252034, 1.5207116031568275, -1.4862790494172287], [0.2436465325743289, 1.4670022252052066, -1.4480627613282548], [0.1238527877065604, 1.3963124689102515, -1.39776428097831], [0.07915703336815576, 1.3845101464599983, -1.3893664746346184], [-0.07915703336815576, 1.3845101464599983, -1.3893664746346184], [-0.1238527877065604, 1.3963124689102515, -1.39776428097831], [-0.24364653257432906, 1.4670022252052064, -1.4480627613282548], [-0.25044858530252034, 1.5207116031568275, -1.4862790494172287], [-0.1729092093576034, 1.5901342832130072, -1.5356759562912083], [-0.07367275796570624, 1.65406389232118, -1.5811643319207698]]"
12,tail,54,2.73,FALSE,0,tail,54,board_1,done,"[[0.08862668418514495, 1.8239268101463824, 0.9212335283060343], [0.03782668418514495, 1.6131969185435153, 1.191841433256794], [-0.034604496985472626, 1.7676120354274532, 1.5559985393488773], [-0.034604496985472626, 1.61216818328288, 1.5426504576153866], [-0.034604496985472626, 1.5533516636550246, 1.4654359965589276], [-0.03968449698547263, 1.5122416849926716, 1.3521482975543848], [-0.060004496985472625, 1.5071437077927996, 1.221363020091747], [0.037826684185144954, 1.5071437077927996, 1.221363020091747], [0.017506684185144953, 1.5122416849926716, 1.3521482975543848], [0.012426684185144952, 1.5533516636550246, 1.4654359965589276], [0.012426684185144952, 1.61216818328288, 1.5426504576153866], [0.012426684185144952, 1.7676120354274532, 1.5559985393488773], [-0.060004496985472625, 1.6131969185435153, 1.191841433256794], [-0.034604496985472626, 1.577395325780852, 1.3308633682558062], [-0.034604496985472626, 1.602841174010048, 1.4438876414221111], [-0.034604496985472626, 1.6493660713695102, 1.4988540937908246], [-0.034604496985472626, 1.7591444498952198, 1.506570627725979], [0.012426684185144952, 1.7591444498952198, 1.506570627725979], [0.012426684185144952, 1.6493660713695102, 1.4988540937908246], [0.012426684185144952, 1.602841174010048, 1.4438876414221111], [0.012426684185144952, 1.577395325780852, 1.3308633682558062]]"
